Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
9,1.07,15.6,14.6,3.1,0.208,233.0,0.156,816.0,1.0
10,1.0,13.7,13.7,4.8,0.143,195.0,0.132,561.0,1.0
8,1.01,16.3,16.2,5.8,0.13,235.0,0.141,510.0,1.0
4,1.13,17.9,15.8,3.7,0.1169999999999999,243.0,0.1989999999999999,459.0,1.0
3,0.86,12.6,14.6,4.4,0.104,191.0,0.188,408.0,1.0
5,0.97,14.3,14.8,3.9,0.104,194.0,0.14,408.0,2.0
1,0.98,16.8,17.2,5.0,0.065,211.0,0.19,255.0,0.0
6,0.59,10.7,18.0,7.3,0.039,148.0,0.188,153.0,0.0
13,0.41,6.0,14.5,2.5,0.026,123.0,0.1669999999999999,102.0,0.0
0,1.81,14.5,8.0,5.0,0.026,208.0,0.138,102.0,2.0
2,0.88,15.0,17.0,7.0,0.013,197.0,0.133,51.0,0.0
12,1.0,14.0,14.0,5.0,0.013,242.0,0.0,51.0,0.0
11,0.58,11.0,19.0,4.0,0.013,132.0,0.182,51.0,0.0
10,0.93,14.0,15.0,4.6,0.176,192.0,0.108,11934.0,1.0
9,1.15,17.1,14.9,4.5,0.13,249.0,0.1639999999999999,8823.0,1.0
4,1.15,17.7,15.5,4.2,0.121,253.0,0.184,8211.0,1.0
6,1.02,15.9,15.5,4.8,0.1,217.0,0.136,6783.0,1.0
8,1.01,16.4,16.2,5.7,0.087,243.0,0.144,5865.0,1.0
5,1.02,14.5,14.2,4.2,0.073,207.0,0.106,4947.0,1.0
3,0.96,13.7,14.3,4.7,0.054,190.0,0.1159999999999999,3672.0,1.0
12,0.93,13.5,14.5,5.7,0.049,196.0,0.111,3315.0,1.0
13,0.94,14.4,15.3,6.0,0.043,204.0,0.1159999999999999,2907.0,1.0
2,0.97,15.0,15.5,6.8,0.042,212.0,0.108,2856.0,1.0
7,1.01,15.5,15.3,4.6,0.04,232.0,0.165,2703.0,1.0
11,0.88,12.6,14.4,3.5,0.0289999999999999,181.0,0.13,1989.0,1.0
1,0.85,14.4,16.9,4.6,0.026,204.0,0.1689999999999999,1785.0,1.0
14,0.91,15.1,16.6,3.7,0.019,205.0,0.175,1275.0,1.0
0,1.13,17.6,15.6,3.9,0.011,229.0,0.11,714.0,1.0
4,1.1,4.6,4.2,1.2,0.155,226.0,0.163,59109.0,1.0
8,1.03,4.4,4.2,1.5,0.142,224.0,0.15,54060.0,1.0
9,1.09,4.5,4.1,1.3,0.133,221.0,0.159,50694.0,1.0
10,0.88,3.5,4.0,1.2,0.095,166.0,0.113,36159.0,1.0
7,0.99,4.1,4.1,1.2,0.075,201.0,0.136,28407.0,1.0
14,0.89,3.8,4.2,0.9,0.062,181.0,0.1369999999999999,23715.0,1.0
12,0.94,3.8,4.0,1.6,0.06,189.0,0.096,22644.0,1.0
5,0.92,3.6,3.9,1.1,0.051,182.0,0.098,19533.0,1.0
6,0.87,3.6,4.2,1.2,0.044,176.0,0.128,16677.0,1.0
11,0.98,4.0,4.1,1.3,0.04,192.0,0.122,15096.0,1.0
13,0.8,3.3,4.1,1.3,0.038,163.0,0.122,14331.0,1.0
3,0.98,3.9,4.0,1.1,0.035,186.0,0.104,13209.0,1.0
1,0.95,4.1,4.3,1.5,0.034,201.0,0.154,12750.0,1.0
2,0.87,3.6,4.2,1.8,0.027,182.0,0.1369999999999999,10404.0,1.0
0,0.96,3.9,4.1,0.9,0.01,176.0,0.11,3672.0,1.0
10,0.9,13.2,14.6,4.6,0.162,183.0,0.11,6426.0,1.0
9,1.1,16.8,15.2,4.3,0.162,241.0,0.148,6426.0,1.0
4,1.1,16.0,14.5,4.0,0.114,240.0,0.171,4539.0,1.0
8,0.92,14.2,15.5,4.9,0.107,214.0,0.142,4233.0,1.0
6,0.97,15.4,15.8,5.3,0.072,209.0,0.107,2856.0,1.0
