Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Label
16,13.5,0.228,0.7090000000000001,0.063,2
11,10.2,0.201,0.736,0.063,1
14,3.8,0.196,0.711,0.093,0
10,3.8,0.02,0.92,0.06,2
15,2.7,0.091,0.818,0.091,0
7,2.6,0.1159999999999999,0.7390000000000001,0.145,0
4,2.3,0.15,0.789,0.061,0
2,2.3,0.051,0.897,0.051,1
5,2.1,0.263,0.701,0.036,0
6,2.0,0.5,0.5,0.0,2
12,1.9,0.251,0.727,0.021,1
3,1.7,0.1669999999999999,0.774,0.06,0
0,1.3,0.036,0.75,0.214,0
8,1.0,0.1669999999999999,0.667,0.1669999999999999,2
9,1.0,0.091,0.636,0.273,1
13,0.0,0.133,0.6,0.267,0
1,0.0,0.25,0.75,0.0,0
16,11.7,0.157,0.753,0.09,2
11,8.4,0.149,0.752,0.099,2
14,4.0,0.1169999999999999,0.76,0.123,0
10,3.3,0.099,0.856,0.045,2
9,2.9,0.106,0.708,0.187,1
5,2.7,0.18,0.742,0.077,0
3,1.9,0.141,0.769,0.09,0
4,1.6,0.134,0.762,0.104,0
0,1.5,0.085,0.753,0.162,0
12,1.5,0.196,0.741,0.063,1
7,1.5,0.11,0.728,0.163,0
6,1.4,0.1889999999999999,0.764,0.047,2
8,1.2,0.215,0.725,0.06,2
2,1.2,0.134,0.7659999999999999,0.1,1
15,1.0,0.148,0.7390000000000001,0.113,0
1,0.8,0.124,0.7879999999999999,0.089,0
13,0.8,0.124,0.7490000000000001,0.127,0
4,6.5,0.142,0.7390000000000001,0.119,0
9,6.4,0.096,0.701,0.203,1
5,6.4,0.136,0.757,0.106,0
14,6.3,0.11,0.74,0.151,0
12,6.3,0.14,0.775,0.086,0
0,6.3,0.07,0.7040000000000001,0.226,0
7,6.3,0.115,0.677,0.208,0
3,6.2,0.1159999999999999,0.763,0.121,0
16,6.1,0.131,0.7340000000000001,0.134,2
13,6.1,0.115,0.667,0.218,0
11,6.1,0.131,0.731,0.138,2
2,6.0,0.11,0.748,0.142,1
1,6.0,0.132,0.7170000000000001,0.152,0
6,5.8,0.151,0.758,0.09,2
15,5.7,0.162,0.706,0.132,0
10,5.4,0.079,0.8590000000000001,0.063,2
8,5.3,0.145,0.794,0.061,2
16,8.8,0.141,0.75,0.109,2
11,5.9,0.142,0.7509999999999999,0.107,2
14,3.7,0.115,0.754,0.131,0
10,2.9,0.088,0.878,0.033,2
9,2.9,0.1169999999999999,0.6829999999999999,0.2,1
0,2.6,0.078,0.746,0.176,0
5,2.3,0.17,0.746,0.084,0
7,1.8,0.107,0.71,0.184,0
3,1.6,0.142,0.7509999999999999,0.107,0
6,1.3,0.134,0.7759999999999999,0.09,2
4,1.2,0.133,0.759,0.108,0
15,1.2,0.16,0.754,0.086,0
12,1.2,0.165,0.757,0.078,0
2,1.1,0.125,0.774,0.102,0
8,1.0,0.1889999999999999,0.73,0.0819999999999999,2
1,1.0,0.155,0.7240000000000001,0.121,0
13,0.9,0.1119999999999999,0.7170000000000001,0.17,0
16,14.8,0.21,0.728,0.062,2
11,13.3,0.207,0.727,0.066,2
10,6.0,0.1169999999999999,0.8590000000000001,0.025,2
14,4.2,0.157,0.7559999999999999,0.087,0
5,2.9,0.267,0.6970000000000001,0.036,0
9,2.8,0.1689999999999999,0.785,0.046,2
3,2.5,0.196,0.7609999999999999,0.042,0
